rank,word,count,freq_per_million
554,blue,399,199.453826
555,pass,397,198.454058
556,style,397,198.454058
557,performance,397,198.454058
558,michael,396,197.954174
559,must,396,197.954174
560,originally,396,197.954174
561,action,396,197.954174
562,awarded,395,197.454289
563,appeared,394,196.954405
564,leading,392,195.954637
565,addition,391,195.454752
566,com,390,194.954868
567,europe,389,194.454984
568,every,389,194.454984
569,nissan,389,194.454984
570,robert,388,193.955099
571,records,388,193.955099
572,good,387,193.455215
573,books,386,192.955331
574,includes,386,192.955331
575,points,386,192.955331
576,studies,385,192.455447
577,japan,384,191.955562
578,tournament,384,191.955562
579,w,383,191.455678
580,himself,383,191.455678
581,henry,380,189.956025
582,daughter,380,189.956025
583,fourth,380,189.956025
584,cross,379,189.456141
585,texas,379,189.456141
586,go,378,188.956257
587,little,376,187.956488
588,despite,376,187.956488
589,developed,376,187.956488
590,paul,375,187.456604
591,magazine,374,186.95672
592,episode,373,186.456835
593,rights,373,186.456835
594,help,371,185.457067
595,technology,371,185.457067
596,conference,370,184.957182
597,charles,369,184.457298
598,mother,368,183.957414
599,writing,367,183.45753
600,half,366,182.957645
601,common,366,182.957645
602,never,365,182.457761
603,popular,364,181.957877
604,sold,364,181.957877
605,current,363,181.457992
606,eight,362,180.958108
607,study,362,180.958108
608,my,361,180.458224
609,women's,360,179.95834
610,commission,359,179.458455
611,across,359,179.458455
612,features,359,179.458455
613,gold,357,178.458687
614,change,357,178.458687
615,away,357,178.458687
616,jazz,356,177.958803
617,available,356,177.958803
618,germany,354,176.959034
619,academy,353,176.45915
620,does,353,176.45915
621,should,353,176.45915
622,square,350,174.959497
623,collection,350,174.959497
624,medal,350,174.959497
625,added,350,174.959497
626,tour,350,174.959497
627,completed,348,173.959728
628,instead,347,173.459844
629,process,346,172.95996
630,front,346,172.95996
631,k,346,172.95996
632,featured,345,172.460075
633,important,345,172.460075
634,songs,345,172.460075
635,regiment,345,172.460075
636,ft,344,171.960191
637,living,344,171.960191
638,unit,344,171.960191
639,space,343,171.460307
640,throughout,343,171.460307
641,peter,343,171.460307
642,report,343,171.460307
643,mi,343,171.460307
644,star,342,170.960423
645,sea,341,170.460538
646,night,340,169.960654
647,tv,340,169.960654
648,big,340,169.960654
649,average,340,169.960654
650,return,340,169.960654
651,novel,339,169.46077
652,week,339,169.46077
653,least,338,168.960886
654,soviet,337,168.461001
655,artist,336,167.961117
656,selected,336,167.961117
657,designed,336,167.961117
658,months,336,167.961117
659,ten,335,167.461233
660,hop,335,167.461233
661,richard,334,166.961348
662,low,333,166.461464
663,'s,333,166.461464
664,brother,333,166.461464
665,valley,333,166.461464
666,review,333,166.461464
667,historical,333,166.461464
668,reported,333,166.461464
669,previous,332,165.96158
670,me,332,165.96158
671,currently,332,165.96158
672,federal,332,165.96158
673,los,331,165.461696
674,private,331,165.461696
675,money,330,164.961811
676,stated,330,164.961811
677,structure,330,164.961811
678,christian,330,164.961811
679,coast,330,164.961811
680,degree,329,164.461927
681,lower,329,164.461927
682,gave,329,164.461927
683,italy,328,163.962043
684,y,328,163.962043
685,professor,327,163.462159
686,african,327,163.462159
687,less,327,163.462159
688,historic,327,163.462159
689,base,327,163.462159
690,sun,327,163.462159
691,previously,326,162.962274
692,regular,326,162.962274
693,cast,325,162.46239
694,china,325,162.46239
695,hip,325,162.46239
696,model,324,161.962506
697,network,323,161.462621
698,middle,323,161.462621
699,catholic,323,161.462621
700,o,323,161.462621
701,channel,322,160.962737
702,real,322,160.962737
703,fire,322,160.962737
704,bill,322,160.962737
705,washington,321,160.462853
706,via,321,160.462853
707,climate,321,160.462853
708,listed,321,160.462853
709,finished,321,160.462853
710,ireland,319,159.463084
711,foundation,319,159.463084
